3854	832
2130	831
3771	825
2507	824
4039	2003
3122	821
4160	820
1581	819
804	818
2448	1077
4141	815
2429	814
4049	2006
5566	812
4050	2007
2556	806
1996	807
686	805
2439	1068
414	803
4117	2038
5243	802
4116	2037
1967	798
4052	2009
4054	2010
4714	793
1934	792
3999	789
4114	2036
1994	786
2246	784
4113	2035
334	783
4111	2034
4097	2029
4098	2030
4099	2031
4101	2032
2164	776
4106	2033
1140	771
3775	769
1572	767
4096	2028
5952	764
1747	762
2063	761
932	760
4094	2027
1302	757
1576	755
2242	754
2241	753
2036	745
5954	740
1524	739
1668	737
4199	2049
3769	1066
2712	733
3103	1383
4431	731
4171	730
4140	2047
4438	725
3867	723
1956	722
753	721
4009	1985
4463	719
1971	718
4135	2046
1139	716
1910	713
4292	712
1880	711
4130	2045
4128	2044
1772	707
1858	705
1798	704
1861	701
1976	700
1606	699
817	697
2059	695
3844	694
803	693
1820	691
1773	689
4127	2043
1955	687
4125	2042
2038	684
2063	683
1878	682
3753	678
4175	677
4124	2041
2402	675
2045	674
4120	2040
4119	2039
3976	1968
4500	669
4829	2179
1659	666
2171	665
3067	664
1675	663
2233	660
2232	659
4581	657
1991	655
2418	654
2092	653
4872	2182
3174	649
5299	648
2426	1053
4492	645
3196	640
4064	2019
1135	639
5542	634
4453	631
6030	629
6018	627
5943	625
2020	624
2351	622
5963	620
1140	619
1989	617
2504	614
5509	2326
2195	610
1966	608
1950	609
4062	2017
4061	2016
4442	2015
2574	601
4291	600
1783	599
1738	598
1696	597
1987	595
2407	594
5597	593
2170	590
4740	589
4665	586
1856	585
1944	583
2678	1178
3929	1961
3921	1959
3084	576
1954	573
1917	571
2306	569
1847	568
4347	567
6036	566
2501	565
766	561
1938	560
4574	556
4412	2105
1738	552
2117	551
3901	1953
4470	545
5958	1964
2673	543
2010	542
1126	541
4298	538
5335	536
4277	2057
4278	2058
1610	532
1671	531
1670	530
1605	528
2825	527
2224	526
5118	525
2192	524
418	523
1667	522
3920	1958
1881	519
2710	518
4705	2160
1650	510
1615	509
1492	505
3897	1952
925	499
2596	498
2764	495
1658	493
1656	491
2787	1233
1156	486
3896	1951
924	483
750	482
1689	480
5851	1047
1464	479
1507	478
1495	477
1502	473
2224	471
1663	469
922	468
1741	466
1716	462
962	460
1902	455
1654	453
2838	452
2165	446
2632	445
1607	444
4359	443
2883	440
950	435
1593	423
442	421
2166	422
1503	414
1707	407
1200	410
728	406
\N	2391
3093	393
1822	392
1586	389
1876	388
2989	1309
5953	386
1862	385
1891	383
800	382
2761	1220
5169	380
1959	379
1928	378
1055	377
5121	376
2214	373
1898	372
318	371
1926	368
1821	370
3913	1956
5347	366
5250	365
1799	364
4042	363
2659	1169
1892	360
2625	361
2493	357
1898	354
3732	353
3772	352
1899	350
2604	349
245	348
4784	347
5391	346
306	345
1833	342
1906	341
1919	340
810	339
2754	2150
6072	335
5480	333
1901	332
4301	1147
4886	330
1767	327
1920	326
1786	322
405	323
2192	321
2051	320
2848	315
1897	311
5710	310
2806	309
1541	308
5092	1232
3910	1954
3912	1955
264	304
4704	2159
427	302
4439	299
4206	298
1510	295
2630	294
1908	292
2055	290
1706	287
1909	288
1611	284
2089	286
2212	280
1884	281
3752	278
2211	277
4210	2051
2726	1193
443	274
4722	2163
1500	270
940	263
1848	259
2022	257
2696	258
1249	256
2742	254
1974	253
1922	252
357	250
829	247
3020	246
2013	245
457	243
1973	241
1985	240
2457	238
4423	2112
4424	2113
2359	230
3973	229
3086	1376
2087	223
